region,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott
id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,MN01,MN02,MN03,MN04,MN05,MN06,MN07,MN08,MN09,MN10,MN11,MN12,MN13,MN14,MN15,MN16,MN17,MN18,MN19,MN20,MN21,MN22,MN23,MN24,MN25,MN26,MN27,MN28,MN29,MN30,MN31,MN32,MN33,MN34,MN35,MN36,MN37,MN38,MN39,MN40,MN41,MN42,MN43,MN44,MN45,MN46,MN47,MN48,MN49,R1,R10,R11,R12,R15,R16,R19,R20,R21,R22,R23,R24,R25,R32,R33,R37,R38,R39,R4,R40,R41,R42,R43,R44,R46,R47,R48,R49,R5,R50,R51,R52,R53,R55,R56,R57,R58,R59,R60,R62,R63,R65,R7,R8,S103,S115,S120,S122,S123,S124,S130,S131,S132,S134,S136,S139,S140,S143,S144,S145,S146,S147,S148,S150,S152,S153,S69,S70,S73,S79,S83,S85,S88,S90,S93,S97
length,460,465,420,465,350,450,NA,510,465,385,455,447,415,458,454,495,450,395,472,428,438,432,438,392,450,432,405,440,412,414,534,498,490,354,466,474,467,522,350,471,514,435,428,428,450,460,387,434,454,356,475,510,495,516,510,465,434,549,522,521,536,518,344,580,530,401,375,505,600,464,461,455,522,519,561,426,501,396,560,581,549,550,525,373,550,419,506,522,444,383,379,570,442,372,441,396,408,541,429,330,443,544,461,406,398,437,500,324,326,521,468,360,355,426,245,366,399,266,303,240,510,424,529,517,478,483,496,477,435,375,541,446,430,366,362,507,447,315,256
1963,NA,NA,NA,NA,NA,305.4640135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,142.4532893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.2555578,NA,NA,NA,NA,NA,491.6316877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,108.6725912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.9810996,NA,NA,NA,NA,NA,134.7062895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,73.2577751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2011525,NA,NA,NA,NA,NA,103.510968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,62.34348048,NA,NA,NA,NA,NA,NA,NA,350.8160249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.70388836,NA,NA,NA,NA,NA,55.90822768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,48.30481989,NA,NA,NA,NA,NA,NA,NA,143.2002516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22799904,NA,NA,NA,NA,NA,67.90015339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,49.0609051,NA,NA,NA,NA,NA,NA,NA,103.7717889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5534524,NA,NA,NA,NA,NA,51.36243509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,54.1623166,NA,NA,NA,NA,NA,NA,NA,98.36015047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.9408293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.78059033,NA,NA,NA,NA,NA,42.9624121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.1501491,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,39.028689,NA,NA,NA,NA,NA,NA,NA,87.45933646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.3683663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.20782874,NA,NA,NA,NA,NA,47.23436039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.7399131,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,52.29348643,NA,NA,NA,NA,NA,NA,NA,63.34855007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.715897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.78486677,NA,NA,NA,NA,NA,38.24087641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.3180823,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,52.94658964,NA,NA,NA,NA,NA,NA,NA,58.49214448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.58127897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.27197615,NA,NA,NA,NA,NA,39.66418854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.48093623,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,32.91761857,NA,NA,NA,NA,NA,NA,NA,49.15269151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.11753762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.05145815,NA,NA,NA,NA,NA,49.41047464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.50376609,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,45.15680047,NA,NA,NA,NA,NA,NA,NA,55.52328829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.83182989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.69523867,NA,NA,NA,NA,NA,33.91892652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63004814,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,46.90778404,NA,NA,NA,NA,NA,NA,NA,50.56739154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6985747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05713192,NA,NA,NA,NA,NA,36.69342142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.11779738,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,43.36973466,NA,NA,NA,NA,NA,NA,NA,45.76838286,NA,455.6820655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.3663379,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3451611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.24224547,NA,NA,NA,NA,NA,22.82985383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.48797148,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,41.03803969,NA,NA,NA,NA,NA,NA,NA,43.74980127,NA,111.2896557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.0758719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.4824819,NA,125.3695909,366.340334,NA,NA,NA,NA,NA,NA,NA,NA,54.47208563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9592292,NA,NA,NA,NA,NA,32.14763128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.42019047,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,32.11317584,NA,NA,NA,NA,NA,NA,NA,49.0555552,NA,91.63295247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.9903613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.128453,NA,86.26357251,136.1966622,NA,NA,NA,NA,NA,NA,NA,NA,74.31259177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8995197,491.6592648,NA,NA,NA,NA,28.03527772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.01182111,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,33.87395888,NA,NA,NA,NA,NA,NA,NA,48.30146716,NA,85.00558094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.3222947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.00607573,NA,79.3931256,60.40893466,NA,NA,NA,NA,NA,NA,NA,NA,47.24836706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.40962624,133.953504,NA,NA,NA,NA,25.16429508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.95805703,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,32.95787078,NA,523.4859786,NA,NA,NA,NA,NA,47.38283356,NA,57.92918712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8498097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.88425707,NA,46.07729753,72.80456826,NA,NA,NA,NA,NA,NA,NA,NA,41.19337167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4059897,108.186281,NA,NA,NA,NA,29.65099276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.67830423,NA,NA,NA,NA,320.2670265,NA,NA,NA
1982,NA,NA,NA,NA,NA,31.22704567,NA,152.9274426,NA,NA,NA,NA,NA,35.56960787,NA,61.60974308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.08354613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.85282841,NA,49.70394365,83.27278193,NA,NA,NA,NA,NA,NA,NA,NA,33.06292679,526.6073865,NA,NA,NA,NA,NA,NA,NA,NA,NA,714.1069263,NA,NA,NA,31.92387868,95.19516896,NA,NA,NA,NA,24.62631641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.3410341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2794661,NA,NA,NA,NA,102.8668204,NA,NA,NA
1983,NA,NA,NA,NA,NA,30.5194084,NA,55.82423457,NA,NA,NA,NA,NA,43.28698668,NA,48.69248571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.12989812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.53471981,NA,44.63649925,67.89928311,NA,NA,NA,NA,NA,NA,NA,NA,44.05441548,154.943336,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.2093846,NA,NA,NA,47.88351051,85.26167331,NA,NA,NA,NA,32.04813283,NA,NA,407.8463797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.17212831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.8017179,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.06429226,NA,NA,NA,NA,95.06393617,NA,NA,NA
1984,NA,NA,NA,NA,NA,30.28764227,NA,43.25585656,NA,NA,NA,NA,NA,37.05111064,NA,55.36256434,NA,NA,558.9405692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.38649528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.69115888,NA,60.15622247,60.58598963,NA,NA,NA,NA,NA,NA,NA,NA,53.38640617,89.35762618,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5779884,NA,NA,NA,32.8980888,61.58996318,NA,NA,NA,NA,36.2658982,NA,NA,193.3072217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.55505036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.5434737,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.37453315,NA,NA,NA,NA,110.8198372,NA,NA,NA
1985,NA,NA,NA,NA,NA,33.13538361,NA,59.04186185,NA,NA,NA,NA,NA,32.08808519,NA,49.82028116,NA,NA,165.9402895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.24192211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.56239206,NA,40.45952607,52.79753976,NA,NA,NA,NA,NA,NA,NA,NA,46.89058834,49.6531462,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.58087689,NA,NA,NA,40.68188657,63.43134332,NA,NA,NA,NA,27.07070396,NA,NA,89.30455866,NA,NA,NA,470.1685547,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.56708303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.42287726,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.96739912,NA,NA,NA,NA,61.12135069,NA,NA,NA
1986,463.2546443,NA,NA,NA,NA,31.51432169,NA,39.18050854,NA,NA,NA,NA,325.62004,36.66101371,NA,44.65346799,NA,NA,75.29398663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.15579344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.88636426,NA,48.40967051,73.7898736,NA,NA,NA,NA,NA,NA,NA,NA,34.11043719,65.19474312,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.22397739,NA,NA,NA,36.04613928,35.18197098,NA,NA,NA,NA,16.91064767,NA,NA,76.8418751,NA,NA,NA,230.2868466,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.85190552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6212176,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.85151571,NA,NA,NA,NA,64.07058172,NA,NA,NA
1987,185.3385313,NA,NA,NA,NA,31.23370633,NA,38.82986838,NA,NA,NA,NA,174.8811111,27.47330125,NA,47.70912454,NA,NA,52.44127158,NA,NA,415.1691251,NA,NA,NA,NA,NA,NA,NA,NA,31.97566308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.5025239,NA,NA,NA,NA,NA,58.70726549,NA,49.5604911,59.84378983,NA,NA,NA,NA,489.1350907,NA,NA,NA,30.21432835,47.58889843,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.24688711,NA,NA,NA,22.58528497,55.95508376,NA,NA,NA,NA,32.03719845,NA,NA,53.21152014,NA,NA,NA,90.1441459,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.16509126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.70023456,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.69892738,NA,NA,NA,NA,72.23828908,NA,NA,NA
1988,108.5461948,305.7573818,NA,NA,NA,28.55456786,NA,35.67029353,NA,NA,520.266671,NA,131.8988466,33.16747523,NA,49.54354554,NA,NA,60.40339045,NA,NA,139.6094311,NA,NA,NA,NA,NA,NA,NA,NA,31.97210359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.4551605,NA,NA,NA,NA,NA,66.29959418,NA,51.52507754,51.35802428,NA,NA,NA,NA,112.159339,NA,NA,NA,35.49233365,54.36642627,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.58206819,NA,NA,NA,26.96809326,35.32414234,NA,NA,NA,NA,28.26902868,NA,NA,65.59540121,NA,NA,NA,101.3745101,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3980315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.24817756,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.58836477,NA,NA,NA,NA,59.89443132,NA,NA,NA
